countyfp,GeoName,x.1969,x.1970,x.1971,x.1972,x.1973,x.1974,x.1975,x.1976,x.1977,x.1978,x.1979,x.1980,x.1981,x.1982,x.1983,x.1984,x.1985,x.1986,x.1987,x.1988,x.1989,x.1990,x.1991,x.1992,x.1993,x.1994,x.1995,x.1996,x.1997,x.1998,x.1999,x.2000,x.2001,x.2002,x.2003,x.2004,x.2005,x.2006,x.2007,x.2008,x.2009,x.2010,x.2011,x.2012,x.2013,x.2014,x.2015,x.2016
0,Minnesota,3817,4099,4331,4689,5467,5865,6301,6753,7559,8427,9298,10207,11237,11974,12577,14211,14984,15789,16724,17371,18824,19795,20165,21426,21777,23084,24169,25778,26938,29010,30134,32247,33204,33754,35174,37048,37775,39407,41258,42980,40739,42119,44617,47213,47253,49243,51146,52038
1,Aitkin,2397,2593,2880,3094,3636,3958,4385,4987,5309,5702,6217,6818,7621,8296,8954,9681,10237,10961,10881,11354,12569,13278,13984,14613,15262,15781,17169,18066,18947,19957,20697,21980,22596,23351,24026,24440,24246,25194,26221,27856,28208,29305,30461,31449,32523,35699,35701,37251
3,Anoka,3958,3745,3924,4176,4514,4906,5312,5926,6772,7726,8917,9988,10807,11503,12374,13716,14495,15156,15818,16506,17526,18091,18556,19720,20767,21880,22775,23973,25069,26946,28393,30611,31688,32697,33953,35030,35815,36866,38167,38713,37230,37846,40008,41397,41717,43710,45673,46901
5,Becker,2555,2812,2995,3314,4243,4283,4563,4968,5397,5828,6414,6904,7542,8024,8749,10009,10403,11185,11793,11981,13183,14107,14110,14790,15496,16278,17053,18872,19540,21342,22243,24337,24999,25769,27118,27665,28380,29693,31347,32988,33097,34979,36982,39829,40537,40917,42358,43415
7,Beltrami,2452,2448,2652,2875,3292,3684,4170,4675,5282,5795,6309,6871,7610,8065,8769,9860,10387,10754,11159,11959,12835,13498,13994,14602,15117,15968,16762,17563,18231,19663,20178,21571,22719,23155,24241,24730,24649,25904,27178,28593,30000,30541,31598,32740,33049,34981,36266,37236
9,Benton,2782,2911,3038,3352,3737,4197,4463,5040,5650,6334,7298,7959,8863,9568,9890,11187,11400,12054,12450,13099,14504,14798,15072,16339,17016,17936,18610,20152,20867,23070,24036,25599,26486,26643,29706,30792,30843,31973,32908,34089,32230,33185,34302,36364,36020,37622,38610,39437
11,Big Stone,2852,3251,3334,3707,6292,5451,5310,5271,6181,6574,6987,7675,8222,8123,9043,11535,11726,11856,12968,11836,14451,15439,15181,16105,13611,15505,16657,19118,19251,21032,22028,23273,23908,25089,26313,29936,30051,30742,32174,37513,36979,39419,41095,49786,50077,47005,50468,50210
13,Blue Earth,3388,3497,3656,3928,5046,5196,5658,5919,7037,7853,8317,8887,9781,10227,10617,12061,12446,12824,14087,14190,15491,16173,16369,17787,18325,19934,20786,21996,22919,25175,25692,26195,29017,30054,30591,31000,32308,34464,34704,34194,32274,33250,36203,38330,38995,41162,41994,41663
15,Brown,3278,3615,3730,4033,5046,5465,5576,5548,7011,7628,8007,8864,9700,10285,10537,12225,12824,13456,14510,14047,16518,17187,17245,18388,17673,19875,20428,22645,22316,23883,24547,25932,27301,28044,30355,31333,32235,33631,35414,39200,37171,38550,42664,45740,45721,46526,48318,48584
17,Carlton,2801,3136,3287,3648,4144,4548,5098,5673,6055,6752,7273,8176,9042,9453,9926,10661,11252,12015,12229,12828,13701,14279,15047,16130,16658,17575,18386,19403,20488,21645,22842,24178,24917,25849,25907,26759,27219,28166,30328,32221,31679,32478,33686,34063,35328,36734,37922,38403
19,Carver,3944,4102,4294,4540,5032,5639,5860,6133,7108,7964,9385,10612,11703,12383,13036,14871,16065,16954,18057,18646,20639,21468,22126,23594,24820,26146,27729,29452,31346,34212,35864,39073,40782,41080,41729,43650,44438,47849,51037,52924,49242,50796,54233,57869,58028,61081,63266,64473
21,Cass,2576,2656,2813,3101,3537,4000,4390,4873,5346,5869,6321,7038,7748,8383,9001,9607,10313,10879,11193,11743,12813,13584,14221,15422,16560,17527,18061,19170,20165,21998,22807,24970,25073,26377,28565,29424,29091,29477,31932,33500,33368,34438,36642,38493,37899,39953,41830,42977
23,Chippewa,3189,3583,3669,4042,5628,5934,5819,5743,6665,7546,8195,8778,9525,9651,10134,11968,12472,13067,14285,13085,15588,17337,16503,17571,15962,19224,18685,22286,21836,23914,25503,26375,27761,28596,29701,30365,31600,32466,34530,38744,38485,39347,43813,48311,48845,44776,45684,46626
25,Chisago,3581,3835,4016,4258,4893,5064,5493,5927,6696,7198,8136,9252,10197,10832,11501,12813,13511,14120,14875,15111,15950,16305,16695,18093,18656,19591,20696,22921,24361,26117,27210,28245,29296,29911,30802,31217,31800,33200,34196,35842,34517,34676,37012,38389,38977,40757,42817,43934
27,Clay,3594,3616,3707,4065,5351,5412,5379,7286,6435,7473,8006,8486,9111,9636,10240,11569,11454,12347,12739,12741,13490,14440,14503,15671,15791,16780,17336,18888,19248,20725,21575,22836,24438,25674,27764,27611,27699,28955,30386,33583,32854,33840,35833,38374,39228,39637,40641,41173
