Year,Aitkin,Anoka,Becker,Beltrami,Benton,Big Stone,Blue Earth,Brown,Carlton,Carver,Cass,Chippewa,Chisago,Clay,Clearwater,Cook,Cottonwood,Crow Wing,Dakota,Dodge,Douglas,Faribault,Fillmore,Freeborn,Goodhue,Grant,Hennepin,Houston,Hubbard,Isanti,Itasca,Jackson,Kanabec,Kandiyohi,Kittson,Koochiching,Lac Qui Parle,Lake,Lake Of The Woods,Le Sueur,Lincoln,Lyon,Mcleod,Mahnomen,Marshall,Martin,Meeker,Mille Lacs,Morrison,Mower,Murray,Nicollet,Nobles,Norman,Olmsted,Otter Tail,Pennington,Pine,Pipestone,Polk,Pope,Ramsey,Red Lake,Redwood,Renville,Rice,Rock,Roseau,St Louis,Scott,Sherburne,Sibley,Stearns,Steele,Stevens,Swift,Todd,Traverse,Wabasha,Wadena,Waseca,Washington,Watonwan,Wilkin,Winona,Wright,Yellow Medicine
1900,6743,11313,14375,11030,9912,8731,32263,19787,10017,17544,7777,12499,13248,17942,NA,810,12069,14250,21733,13340,17964,22055,28238,21838,31137,8935,228340,15400,6578,11675,4573,14793,4614,18416,7889,NA,14289,4654,NA,20234,8966,14591,19595,NA,15698,16936,17753,8066,22891,22335,11911,14774,14932,15045,23119,45375,NA,11546,9264,35429,12577,170554,12195,17261,23693,26080,9668,6994,82932,15147,7281,16862,44464,16524,8721,13503,22214,7573,18924,7921,14760,27808,11496,8080,35686,29157,14602
1910,10371,12493,18840,19337,11615,9367,29337,20134,17559,17455,11620,13458,13537,19640,6870,1336,12651,16861,25171,12094,17669,19949,25680,22282,31637,9114,333480,14297,9831,12615,17208,14491,6461,18969,9669,6431,15435,8011,NA,18609,9874,15722,18691,3249,16338,17518,17022,10705,24053,22640,11755,14125,15210,13446,22497,46036,9376,15878,9553,36001,12746,223675,6564,18425,23123,25911,10222,11338,163274,14888,8136,15540,47733,16146,8293,12949,23407,8049,18554,8652,13466,26013,11382,9063,33398,28082,15406
1920,15043,15626,22851,27079,14073,9766,31477,22421,19391,16946,15897,15720,14445,21780,8569,1841,14570,24566,28967,12552,19039,20998,25330,24692,30799,9788,415419,14013,10136,13278,23876,15955,9086,22060,10638,13520,15554,8251,NA,17870,11268,18837,20444,6197,19443,21085,18103,14180,25841,25993,13631,15036,17917,14880,28014,50818,12091,21117,12050,37090,13631,244554,7263,20908,23634,28307,10965,13305,206391,14245,9651,15635,55741,18061,9778,15093,26059,7943,17919,10699,14133,23761,12457,10187,33653,28685,16550
1930,15009,18415,22503,20707,15056,9838,33847,23428,21232,16936,15591,15762,13189,23120,9546,2435,14782,25627,34592,12127,18813,21642,24748,28741,31317,9558,517785,13845,9596,12081,27224,15863,8558,23574,9688,14078,15398,7068,4194,17990,11303,19326,20522,6153,17003,22401,17914,14076,25442,28065,13902,16550,18618,14061,35426,51006,10487,20264,12238,36019,13085,286721,6887,20620,23645,29974,10962,12621,204596,14116,9709,15865,62121,18475,10185,14735,26170,7938,17613,10990,14412,24753,12802,9791,35144,27119,16625
1940,17865,22443,26562,26107,16106,10447,36203,25544,24212,17606,20646,16927,13124,25337,11153,3030,16143,30226,39660,12931,20369,23941,25830,31780,31564,9828,568899,14735,11085,12950,32996,16805,9651,26524,10717,16930,15509,6956,5975,19227,10797,21569,21380,8054,18364,24656,19277,15558,27473,36113,15060,18282,21215,14746,42658,53192,12913,21478,13794,37734,13544,309935,7413,22290,24625,32160,10933,15103,206917,15585,10456,16625,67200,19749,11039,15469,27438,8283,17653,12772,15186,26430,13902,10475,37795,27550,16917
1950,14327,35579,24836,24962,15911,9607,38327,25895,24584,18155,19468,16739,12669,30363,10204,2900,15763,30875,49019,12624,21304,23879,24465,34517,32118,9542,676579,14435,11085,12123,33321,16306,9192,28644,9649,16910,14545,7781,4955,19088,10150,22253,22198,7059,16125,25655,18966,15165,25832,42277,14801,20929,22435,12909,48228,51320,12965,18223,14003,35900,12862,355332,6806,22127,23954,36235,11278,14505,206062,16486,10661,15816,70681,21155,11106,15837,25420,8053,16878,12806,14957,34544,13881,10567,39841,27716,16279
1960,12162,85916,23959,23425,17287,8954,44385,27676,27932,21358,16720,16320,13419,39080,8864,3377,16166,32134,78303,13259,21313,23685,23768,37891,33035,8870,842854,16588,9962,13530,38006,15501,9007,29987,8343,18190,13330,13702,4304,19906,9651,22655,24401,6341,14262,26986,18887,14560,26641,48498,14743,23196,23365,11253,65532,48960,12468,17004,13605,36182,11914,422525,5830,21718,23249,38988,11864,12154,231588,21909,12861,16228,80345,25029,11262,14936,23119,7503,17007,12199,16041,52432,14460,10650,40937,29935,15523
1970,11403,154556,24372,26373,20841,7941,52322,28887,28072,28310,17323,15109,17492,46585,8013,3423,14887,34826,139808,13037,22892,20896,21916,38064,34763,7462,960080,17556,10583,16560,35530,14352,9775,30548,6853,17131,11164,13351,3987,21332,8143,24273,27662,5638,13060,24316,18810,15703,26949,43783,12508,24518,23208,10008,84104,46097,13266,16821,12791,34435,11107,476255,5388,20024,21139,41582,11346,11569,220693,32423,18344,15845,95400,26931,11218,13177,22114,6254,17224,12412,16663,82948,13298,9389,44409,38933,14418
1980,13404,195998,29336,30982,25187,7716,52314,28645,29936,37046,21050,14941,25717,49327,8761,4092,14854,41722,194279,14773,27839,19714,21930,36329,38749,7171,941411,18382,14098,23600,43069,13690,12161,36763,6672,17571,10592,13043,3764,23434,8207,25207,29657,5535,13027,24687,20594,18430,29311,40390,11507,26929,21840,9379,92006,51937,15258,19871,11690,34844,11657,459784,5471,19341,20401,46087,10703,12574,222229,43784,29908,15448,108161,30328,11322,12920,24991,5542,19335,14192,18448,113571,12361,8454,46256,58681,13653
1990,12425,243641,27881,34384,30185,6285,54044,26984,29259,47915,21791,13228,30521,50422,8309,3868,12694,44249,275227,15731,28674,16937,20777,33060,40690,6246,1032431,18497,14939,25921,40863,11677,12802,38761,5767,16299,8924,10415,4076,23239,6890,24789,32030,5044,10993,22914,20846,18670,29604,37385,9660,28076,20098,7975,106470,50714,13306,21264,10491,32498,10745,485765,4525,17254,17673,49183,9806,15026,198213,57846,41945,14366,118791,30729,10634,10724,23363,4463,19744,13154,18079,145896,11682,7516,47828,68710,11684
