Name,countyfp,x.1980,x.1990,x.2000,x.2010,x.2016,Population 1980,Population 1990,Population 2000,Population 2010,Population 2016
Aitkin ,1,36.3,42.6,46.5,51.7,53.6,35+ - 40,40+ - 45,45+ - 50,50+ - 55,50+ - 55
Anoka ,3,26,30,33.7,37.1,37.9,25+ - 30,25+ - 30,30+ - 35,35+ - 40,35+ - 40
Becker ,5,30,35,39.4,42.2,42.2,25+ - 30,30+ - 35,35+ - 40,40+ - 45,40+ - 45
Beltrami ,7,25.9,29.2,31.5,33.2,33.4,25+ - 30,25+ - 30,30+ - 35,30+ - 35,30+ - 35
Benton ,9,26.6,29.2,31.9,34.1,35.8,25+ - 30,25+ - 30,30+ - 35,30+ - 35,35+ - 40
Big Stone ,11,36.5,40.6,43.6,48.5,49.2,35+ - 40,40+ - 45,40+ - 45,45+ - 50,45+ - 50
Blue Earth ,13,26.4,27.7,29.9,29.8,30.5,25+ - 30,25+ - 30,25+ - 30,25+ - 30,30+ - 35
Brown ,15,30.4,34.5,38.4,43.3,43.3,30+ - 35,30+ - 35,35+ - 40,40+ - 45,40+ - 45
Carlton ,17,30.5,34.9,38.4,40.5,41.1,30+ - 35,30+ - 35,35+ - 40,40+ - 45,40+ - 45
Carver ,19,27.3,30.8,33.9,36.3,37.1,25+ - 30,30+ - 35,30+ - 35,35+ - 40,35+ - 40
Cass ,21,36,38.2,42.2,46.9,48.4,35+ - 40,35+ - 40,40+ - 45,45+ - 50,45+ - 50
Chippewa ,23,33.2,37.4,40.5,43.1,43.1,30+ - 35,35+ - 40,40+ - 45,40+ - 45,40+ - 45
Chisago ,25,29,32.2,34.3,39,40.7,25+ - 30,30+ - 35,30+ - 35,35+ - 40,40+ - 45
Clay ,27,25.2,28.9,32.3,31.6,32.6,25+ - 30,25+ - 30,30+ - 35,30+ - 35,30+ - 35
Clearwater ,29,32.1,36.5,39.7,41.9,42.6,30+ - 35,35+ - 40,35+ - 40,40+ - 45,40+ - 45
Cook ,31,33.4,38.4,44,49.8,51.8,30+ - 35,35+ - 40,40+ - 45,45+ - 50,50+ - 55
Cottonwood ,33,33.7,39.2,41.7,44.2,43.2,30+ - 35,35+ - 40,40+ - 45,40+ - 45,40+ - 45
Crow Wing ,35,32.4,35.8,39.4,42.4,43.8,30+ - 35,35+ - 40,35+ - 40,40+ - 45,40+ - 45
Dakota ,37,27.1,30.2,33.7,36.8,37.6,25+ - 30,30+ - 35,30+ - 35,35+ - 40,35+ - 40
Dodge ,39,29,31.7,34.8,36.4,37.8,25+ - 30,30+ - 35,30+ - 35,35+ - 40,35+ - 40
Douglas ,41,31.1,35.2,39.7,43.1,44.4,30+ - 35,35+ - 40,35+ - 40,40+ - 45,40+ - 45
