Name,countyfp,mhi.1980,mhi.1990,mhi.2000,mhi.2012,mhi.2016
Minnesota,0,17761,0,0,0,63217
Aitkin,1,10663,17564,31139,41191,44524
Anoka,3,23392,40076,57754,69916,73579
Becker,5,12678,20920,34797,49159,54115
Beltrami,7,12244,20925,33392,44038,45201
Benton,9,15517,26619,41968,51365,51841
Big Stone,11,12318,19408,30721,45545,47132
Blue Earth,13,15609,25366,38940,49306,52119
Brown,15,15403,25032,39800,47915,53319
Carlton,17,16420,24900,40021,52943,55607
Carver,19,20466,39188,65540,83275,88638
Cass,21,10926,18732,34332,43992,47926
Chippewa,23,13369,22227,35582,46579,54041
Chisago,25,18497,31281,52012,66592,72908
Clay,27,16578,25891,37889,52136,59614
Clearwater,29,10099,17752,30517,41896,44203
Cook,31,14641,22908,36640,50309,51793
Cottonwood,33,14121,21661,31943,43225,47407
Crow Wing,35,12685,22250,37589,46822,50893
Dakota,37,23587,42218,61863,73288,77321
Dodge,39,16800,29071,47437,66959,68718
Douglas,41,13075,22067,37703,50365,56347
Faribault,43,14417,22421,34440,43835,49101
Fillmore,45,13133,22155,36651,48717,54358
Freeborn,47,16475,24764,36964,43962,48827
Goodhue,49,17036,29237,46972,55603,60452
Grant,51,12034,19773,33775,47333,53828
Hennepin,53,20077,35659,51711,63559,67989
Houston,55,15005,25846,40680,53453,55550
Hubbard,57,11647,20151,35321,45623,49742
Isanti,59,17550,31308,50127,58775,62733
Itasca,61,16157,22442,36234,46180,49507
Jackson,63,14246,23157,36746,49886,55114
Kanabec,65,13374,22495,38520,46323,48042
Kandiyohi,67,14877,25368,39772,50156,53514
Kittson,69,13193,23518,32515,49301,51484
Koochiching,71,16015,23411,36262,40167,44929
Lac qui Parle,73,12676,21646,32626,50203,49210
Lake,75,20382,23478,40402,47210,52320
Lake of the Woods,77,11754,24383,32861,41979,45732
Le Sueur,79,16246,27706,45933,57831,62462
Lincoln,81,10358,19211,31607,47778,49438
Lyon,83,14830,24689,38996,47256,51920
McLeod,85,16885,29549,45953,55275,57738
Mahnomen,87,10485,16924,30053,39442,41597
Marshall,89,12913,21707,34804,51000,56340
Martin,91,15302,24414,34810,46790,51984
Meeker,93,14035,24516,40908,52705,58574
Mille Lacs,95,13187,22689,36977,46363,51232
Morrison,97,12073,22102,37047,47110,51456
Mower,99,16214,23763,36654,46239,51778
Murray,101,13241,22673,34966,50039,51801
Nicollet,103,17063,30491,46170,59490,61501
Nobles,105,14529,22942,35684,47539,53269
Norman,107,12410,21238,32535,45000,52083
Olmsted,109,20066,35789,51316,66667,69308
Otter Tail,111,12575,21909,35395,47579,53351
Pennington,113,14622,21571,34216,47880,51156
Pine,115,12252,21191,37379,44291,45379
Pipestone,117,11681,20737,31909,44817,48944
Polk,119,14200,22559,35105,49859,53059
Pope,121,11878,20131,35633,51148,55180
Ramsey,123,18939,32043,45722,53152,57717
Red Lake,125,11653,19926,32052,48750,49800
Redwood,127,13571,22827,37352,46071,48891
Renville,129,14789,23278,37652,49800,54824
Rice,131,16945,29596,48651,60438,61683
Rock,133,14220,24483,38102,45660,52835
Roseau,135,13324,25910,39852,50620,54827
St. Louis,137,17264,24093,36306,46231,49395
Scott,139,22464,40798,66612,84571,90198
Sherburne,141,19437,35585,57014,72041,78081
Sibley,143,14735,24957,41458,52996,59596
Stearns,145,16020,27512,42426,53861,56977
Steele,147,16866,30571,46106,58403,58141
Stevens,149,12552,21921,37267,52819,55941
Swift,151,11899,18740,34820,45984,49956
Todd,153,11151,18836,32281,45287,47549
Traverse,155,12135,20746,30617,44025,50333
Wabasha,157,15101,26998,42117,53537,58865
Wadena,159,11148,17333,30651,35767,42689
Waseca,161,16252,26992,42440,53433,53199
Washington,163,24257,44122,66305,80747,86689
Watonwan,165,14758,22496,35441,49210,50068
Wilkin,167,15463,23081,38093,52970,52963
Winona,169,15142,25937,38700,46900,52840
Wright,171,18662,33456,53945,70930,75705
Yellow Medicine,173,12867,21537,34393,52134,54717
